species,Kingdom,Group,SubGroup,Size (Mb),Chr,Organelles,Plasmids,Assemblies
Ictidomys tridecemlineatus,Eukaryota,Animals,Mammals,2478.39,-,-,-,2
Jaculus jaculus,Eukaryota,Animals,Mammals,2835.25,-,1,-,1
Leptonychotes weddellii,Eukaryota,Animals,Mammals,3156.9,-,1,-,1
Lipotes vexillifer,Eukaryota,Animals,Mammals,2429.21,-,1,-,1
Loxodonta africana,Eukaryota,Animals,Mammals,3196.74,-,1,-,1
Macaca fascicularis,Eukaryota,Animals,Mammals,3126.56,21,1,-,3
Macaca mulatta,Eukaryota,Animals,Mammals,3097.39,21,1,-,3
Macropus eugenii,Eukaryota,Animals,Mammals,3075.18,-,-,-,1
Manis pentadactyla,Eukaryota,Animals,Mammals,2204.73,-,1,-,1
Megaderma lyra,Eukaryota,Animals,Mammals,1735.93,-,-,-,1
Mesocricetus auratus,Eukaryota,Animals,Mammals,2504.93,-,1,-,1
Microcebus murinus,Eukaryota,Animals,Mammals,2902.27,-,-,-,1
Microtus ochrogaster,Eukaryota,Animals,Mammals,2287.34,28,-,-,1
Monodelphis domestica,Eukaryota,Animals,Mammals,3598.44,9,1,-,1
Mus musculus,Eukaryota,Animals,Mammals,2798.79,21,1,-,7
Mustela putorius furo,Eukaryota,Animals,Mammals,2410.88,-,1,-,2
Myotis brandtii,Eukaryota,Animals,Mammals,2107.24,-,-,-,1
Myotis davidii,Eukaryota,Animals,Mammals,2059.8,-,-,-,1
Myotis lucifugus,Eukaryota,Animals,Mammals,2034.58,-,-,-,1
Nannospalax galili,Eukaryota,Animals,Mammals,3061.42,-,1,-,1
Nomascus leucogenys,Eukaryota,Animals,Mammals,2962.06,26,1,-,1
Ochotona princeps,Eukaryota,Animals,Mammals,3445.78,-,1,-,2
Octodon degus,Eukaryota,Animals,Mammals,2995.89,-,1,-,1
Odobenus rosmarus divergens,Eukaryota,Animals,Mammals,2400.15,-,1,-,1
Odocoileus virginianus,Eukaryota,Animals,Mammals,37.6562,-,-,-,2
Orcinus orca,Eukaryota,Animals,Mammals,2372.92,-,1,-,1
Ornithorhynchus anatinus,Eukaryota,Animals,Mammals,1995.61,19,1,-,1
Orycteropus afer,Eukaryota,Animals,Mammals,4444.08,-,1,-,1
Oryctolagus cuniculus,Eukaryota,Animals,Mammals,2737.46,22,1,-,1
Otolemur garnettii,Eukaryota,Animals,Mammals,2519.72,-,-,-,1
Ovis aries,Eukaryota,Animals,Mammals,2860.5,54,1,-,2
Pan paniscus,Eukaryota,Animals,Mammals,2869.21,-,2,-,1
Pan troglodytes,Eukaryota,Animals,Mammals,3323.27,26,1,-,4
Panthera tigris,Eukaryota,Animals,Mammals,2391.08,-,1,-,1
Pantholops hodgsonii,Eukaryota,Animals,Mammals,2696.89,-,1,-,1
Papio anubis,Eukaryota,Animals,Mammals,2948.38,21,-,-,1
Peromyscus maniculatus,Eukaryota,Animals,Mammals,2630.54,-,-,-,1
Physeter catodon,Eukaryota,Animals,Mammals,2280.73,-,1,-,1
Pongo abelii,Eukaryota,Animals,Mammals,3441.24,24,1,-,2
Procavia capensis,Eukaryota,Animals,Mammals,2985.26,-,1,-,1
Pteronotus parnellii,Eukaryota,Animals,Mammals,1960.32,-,1,-,1
Pteropus alecto,Eukaryota,Animals,Mammals,1985.98,-,1,-,1
Pteropus vampyrus,Eukaryota,Animals,Mammals,1996.08,-,-,-,1
Rattus norvegicus,Eukaryota,Animals,Mammals,2870.18,22,1,-,7
Rhinolophus ferrumequinum,Eukaryota,Animals,Mammals,1926.44,-,1,-,1
Saimiri boliviensis boliviensis,Eukaryota,Animals,Mammals,2608.59,-,1,-,1
Sarcophilus harrisii,Eukaryota,Animals,Mammals,3232.42,-,1,-,2
Sorex araneus,Eukaryota,Animals,Mammals,2423.16,-,-,-,1
Sus scrofa,Eukaryota,Animals,Mammals,2808.53,20,1,-,3
Tarsius syrichta,Eukaryota,Animals,Mammals,3453.86,-,1,-,1
Trichechus manatus latirostris,Eukaryota,Animals,Mammals,3103.81,-,1,-,1
Tupaia belangeri,Eukaryota,Animals,Mammals,2137.23,-,1,-,1
Tupaia chinensis,Eukaryota,Animals,Mammals,2846.58,-,-,-,1
Tursiops truncatus,Eukaryota,Animals,Mammals,2551.42,-,1,-,1
Ursus arctos,Eukaryota,Animals,Mammals,0.775393,-,1,-,1
Ursus maritimus,Eukaryota,Animals,Mammals,2301.38,-,1,-,1
Vicugna pacos,Eukaryota,Animals,Mammals,2172.21,-,1,-,1
